,src,dest,total_voltage
0,39095,39173,890.0
1,01117,01073,1265.0
2,45091,45021,593.5257191139194
3,23015,23005,690.0
4,42111,42063,230.0
5,21155,21217,230.0
6,46115,46025,69.0
7,47123,47105,322.0
8,37057,37151,338.0
9,01073,01127,1426.0
10,51650,51700,575.0
11,37191,37195,230.0
12,27077,27135,230.0
13,21237,21025,69.0
14,13085,13227,115.0
15,40103,40047,483.0
16,12057,12101,207.0
17,01087,01081,460.0
18,54007,54041,169.0
19,47121,47107,161.0
20,21211,21185,69.0
21,42037,42093,230.0
22,51069,51043,276.0
23,51147,51011,115.0
24,29109,29209,161.0
25,45065,45001,66.7628595569597
26,13121,13063,960.0
27,13009,13319,345.0
28,21031,21227,161.0
29,51187,51139,138.0
30,24003,24033,870.9769940828403
31,05045,05029,822.0
32,12099,12085,1506.0
33,26057,26081,345.0
34,17165,17199,138.0
35,21139,17151,161.0
36,28121,28049,828.9539881656805
37,39035,39153,276.0
38,46049,46045,69.0
39,17025,17079,138.0
40,28095,28025,356.97699408284024
41,27011,46051,115.0
42,21155,21229,138.0
43,39057,39023,373.7628595569597
44,36043,36065,545.2885786708791
45,31123,31157,230.0
46,47037,47187,652.0
47,37097,37119,726.9769940828403
48,26115,26091,276.0
49,54069,54051,414.0
50,22053,22019,414.0
51,21093,21167,345.0
52,01059,28057,322.0
53,28033,28137,115.0
54,36027,36039,805.0
55,42061,42087,230.0
56,72147,72103,38.0
57,51199,51650,460.0
58,45077,45045,1476.9769940828403
59,18181,18141,690.0
60,22091,22063,66.7628595569597
61,36077,36057,115.0
62,40019,40069,138.0
63,39071,39027,276.0
64,23011,23001,345.0
65,45007,45045,566.7628595569597
66,05091,05081,69.0
67,05067,05075,330.0
68,21013,21095,230.0
69,25017,25009,805.0
70,39061,39025,721.0
71,54107,54085,138.0
72,39001,39071,138.0
73,47143,47007,483.0
74,01015,01121,230.0
75,05065,05137,161.0
76,39035,39153,345.0
77,22001,22055,641.7628595569597
78,13319,13237,230.0
79,27091,27063,736.0
80,51081,51025,615.0
81,27097,27009,115.0
82,39009,39073,276.0
83,39157,39059,276.0
84,47009,47105,483.0
85,22055,22113,345.0
86,12133,12091,230.0
87,18141,26021,1317.0
88,72007,72123,460.0
89,24005,24510,1150.0
90,20067,20093,115.0
91,20101,20171,115.0
92,42029,42045,399.0
93,13057,13067,230.0
94,47149,47037,161.0
95,21151,21049,414.0
96,45027,45015,115.0
97,21101,21233,299.0
98,54039,54079,690.0
99,51036,51095,230.0
100,22099,22055,709.9769940828403
101,26017,26049,345.0
102,26135,26001,138.0
103,40119,40083,207.0
104,36103,36059,195.97699408284024
105,22037,22125,569.0
106,42091,42017,1028.0
107,17031,17089,138.0
108,22099,22055,333.97699408284024
109,20111,20127,345.0
110,26159,26139,345.0
111,37057,37081,200.0
112,29143,29069,460.0
113,22023,22019,138.0
114,37149,45083,253.95398816568047
115,01039,12091,169.0
116,37119,37167,460.0
117,51037,51117,230.0
118,39013,54051,276.0
119,51081,51595,230.0
120,51185,51027,69.0
121,01043,01073,500.0
122,47063,47089,361.28857867087913
123,37159,37025,695.9769940828403
124,13017,13155,345.0
125,13021,13079,115.0
126,22057,22089,690.0
127,45003,45037,399.0
128,54041,54097,126.97699408284024
129,28159,28099,322.0
130,37019,37047,629.0
131,28091,28073,414.0
132,47163,51167,138.0
133,22031,22017,707.7398536398
134,40037,40081,276.0
135,13293,13231,284.0
136,22119,22017,345.0
137,22055,22097,434.7628595569597
138,01005,01011,296.7628595569597
139,37057,37159,200.0
140,40007,40139,126.97699408284024
141,22097,22039,368.0
142,45047,45007,890.0
143,55133,55131,345.0
144,37197,37171,773.7628595569597
145,13143,13233,230.0
146,54029,42125,169.0
147,12095,12117,1196.0
148,13237,13303,460.0
149,29189,29183,552.0
150,40143,40131,1066.0
151,40021,05033,161.0
152,13315,13153,230.0
153,20055,20171,460.0
154,45087,45039,230.0
155,36057,36093,241.97699408284024
156,01103,01083,161.0
157,27145,27009,230.0
158,37001,37135,400.0
159,13115,13129,345.0
160,13113,13063,230.0
161,37171,37067,460.0
162,17193,17065,207.0
163,51125,51009,264.97699408284024
164,31141,31121,230.0
165,28035,28111,276.0
166,55089,55117,759.0
167,40133,40049,138.0
168,37097,37035,366.7628595569597
169,12127,12117,1150.0
170,12101,12103,759.0
171,21029,21111,1150.0
172,13313,13295,460.0
173,40065,40075,276.0
174,13057,13085,345.0
175,28149,22073,500.0
176,20141,20167,115.0
177,22109,22057,460.0206000276511
178,37199,37121,399.0
179,51650,51700,345.0
180,29001,29103,161.0
181,37161,37045,999.0
182,33013,33011,460.0
183,42133,24025,730.0
184,45017,45075,345.0
185,25001,25023,399.0
186,18181,18157,652.0
187,36045,36049,230.0
188,17067,17001,345.0
189,01077,01079,161.0
190,29195,29053,161.0
191,47123,47105,138.0
192,18029,18047,345.0
193,39099,39155,997.0
194,01117,01021,115.0
195,51067,51089,264.97699408284024
196,54033,54049,253.95398816568047
197,36017,36023,115.0
198,26155,26049,483.0
199,13091,13175,230.0
200,05061,05109,138.0
201,37035,37119,460.0
202,37145,37063,230.0
203,27123,27025,345.0
204,28043,28097,115.0
205,36053,36065,230.0
206,17001,29127,506.0
207,25017,25009,1725.0
208,51143,37145,230.0
209,13217,13159,230.0
210,05015,29213,161.0
211,36053,36017,181.7628595569597
212,42097,42109,913.0
213,54011,54079,903.0
214,36077,36017,133.5257191139194
215,37059,37097,100.0
216,20125,40105,276.0
217,18129,18163,345.0
218,42003,42129,828.0
219,51025,51117,115.0
220,13119,13147,181.7628595569597
221,36119,36079,974.0
222,54039,54079,690.0
223,72013,72131,115.0
224,37145,37183,460.0
225,42091,42101,798.0
226,12111,12099,230.0
227,26075,26161,531.7628595569597
228,55007,55031,126.97699408284024
229,17197,17031,1311.0
230,46037,46013,230.0
231,22051,22089,920.0
232,39125,39137,138.0
233,45019,45015,859.0
234,01097,28059,1075.0
235,45007,45045,535.7628595569597
236,12033,12113,805.0
237,20147,20163,149.5
238,25003,50003,230.0
239,37169,37171,435.7628595569597
240,51057,51159,230.0
241,01117,01123,460.0
242,13279,13031,230.0
243,36123,36097,115.0
244,17035,17079,345.0
245,24001,24023,276.0
246,28053,28133,126.97699408284024
247,18147,18077,765.0
248,51041,51760,805.0206000276511
249,31047,31111,345.0
250,13121,13063,1215.9769940828403
251,28159,28019,161.0
252,12113,12091,575.0
253,19103,19139,506.0
254,18133,18063,276.0
255,72061,72021,115.0
256,47115,47061,235.7628595569597
257,18059,18145,207.0
258,72007,72127,115.0
259,23011,23019,805.0
260,72041,72025,115.0
261,18099,18131,138.0
262,39035,39085,483.0
263,28149,28049,115.0
264,51185,54047,376.7628595569597
265,54005,54045,169.0
266,54005,54109,169.0
267,18065,18145,345.0
268,29159,29083,161.0
269,40073,40083,276.0
270,01023,01091,115.0
271,38053,38089,345.0
272,42091,42017,568.0
273,36073,36063,230.0
274,54069,39081,276.0
275,13137,45073,241.97699408284024
276,20001,20207,69.0
277,19035,19149,299.0
278,17141,17201,1380.0
279,72113,72073,115.0
280,36121,36037,115.0
281,17197,17063,1656.0
282,37119,37071,2203.9539881656806
283,42089,42095,575.0
284,42049,39007,345.0
285,31003,31011,115.0
286,47179,47171,161.0
287,13311,13187,126.97699408284024
288,22127,22049,115.0
289,40031,40051,414.0
290,17019,17147,483.0
291,72023,72097,115.0
292,12127,12035,575.0
293,29510,17119,483.0
294,39119,39031,759.0
295,47081,47135,161.0
296,37145,37135,460.0
297,42033,42047,345.0
298,05049,05135,161.0
299,17135,17051,514.0
300,38053,38025,575.0
301,29159,29195,322.0
302,42071,42011,1288.0
303,18077,21223,345.0
304,46059,46069,135.7628595569597
305,22117,22105,66.7628595569597
306,22081,22069,230.0
307,42133,42001,230.0
308,51069,54023,1000.0
309,39053,39131,1380.0
310,26099,26147,1410.0
311,36031,36033,235.7628595569597
312,36053,36065,115.0
313,01129,01025,471.97699408284024
314,39053,54053,1731.0
315,13135,13089,1880.0
316,37081,37067,526.9769940828403
317,36095,36001,345.0
318,22067,22073,230.0
319,19111,19115,161.0
320,39019,39081,276.0
321,17073,17095,264.97699408284024
322,13261,13307,115.0
323,01045,01069,1185.9309822485206
324,37193,37171,460.0
325,47019,47179,161.0
326,26007,26119,276.0
327,46023,46043,135.7628595569597
328,50007,50001,230.0
329,39061,18077,138.0
330,51147,51049,345.0
331,26063,26157,810.0
332,39153,39133,614.0
333,46073,46111,465.7834595846108
334,45063,45017,701.9769940828403
335,21041,18137,345.0
336,40117,40037,69.0
337,40035,40115,69.0
338,34007,34015,859.0
339,39035,39093,828.0
340,37027,37023,430.0
341,19083,19069,330.0
342,19013,19019,667.0
343,46017,46069,69.0
344,31153,31177,345.0
345,34013,34031,920.0
346,46059,46017,69.0
347,47029,37087,161.0
348,20091,20107,690.0
349,51127,51101,460.0
350,22097,22039,138.0
351,51049,51065,115.0
352,51041,51087,230.0
353,01033,28057,161.0
354,46059,46017,69.0
355,13233,13115,460.0
356,13277,13071,115.0
357,54005,54039,552.0
358,28149,28021,615.0
359,46081,46019,138.0
360,24033,24017,1334.0
361,27029,27007,284.0
362,22071,22051,744.0
363,26159,26005,828.0
364,19111,29045,483.0
365,27163,27123,230.0
366,46003,46035,138.0
367,24021,24025,500.0
368,36121,36051,468.0
369,12097,12105,529.0
370,51177,51033,845.0
371,37169,37067,860.0
372,46103,46033,135.7628595569597
373,37023,37035,1159.0
374,29143,29069,414.0
375,21179,21123,138.0
376,12111,12061,675.0
377,51101,51097,230.0
378,55059,55101,414.0
379,31047,31073,690.0
380,45055,45057,138.0
381,72031,72127,115.0
382,39069,39173,483.0
383,51149,51730,115.0
384,28089,28049,575.0
385,54045,54109,138.0
386,05007,05143,1058.0
387,01017,01081,690.0
388,34013,34031,230.0
389,17031,17043,3105.0
390,39165,39017,759.0
391,29041,29175,299.0
392,17031,17097,1794.0
393,22005,22093,356.97699408284024
394,45063,45081,591.0
395,29187,29099,414.0
396,34023,34025,500.0
397,36043,36065,417.5257191139194
398,22119,05139,345.0
399,23007,23025,230.0
400,17197,17031,4209.0
401,13261,13249,460.0
402,29087,29005,238.0
403,34041,34027,126.97699408284024
404,05103,05013,169.0
405,51680,51009,414.0
406,46135,31027,115.0
407,29095,29053,345.0
408,01061,01045,575.0
409,20009,20185,253.0
410,55121,55035,161.0
411,47063,47073,813.0
412,37009,37189,169.0
413,36103,36059,264.97699408284024
414,18121,18107,138.0
415,45083,45045,586.9769940828403
416,37097,37035,626.7628595569597
417,21085,21183,207.0
418,54019,54081,276.0
419,21187,21081,69.0
420,31049,31101,181.7628595569597
